,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Postcode,Regionname,Distance,Council Area,Population,Schools,Hospitals,Sports facilities,Woolies,Coles
345,Mill Park,7 Woodvale Ct,3,h,501000.0,SP,Barry,16-04-2016,3082,Northern Metropolitan,17.9,Whittlesea City Council,29710,6,0,21,0,0
346,Mitcham,12 Mountfield Rd,4,h,1040000.0,S,Noel,16-04-2016,3132,Eastern Metropolitan,17.2,Whitehorse City Council,16148,5,2,11,1,1
347,Mitcham,9 Newbury St,3,h,814000.0,S,Allens,16-04-2016,3132,Eastern Metropolitan,17.2,Whitehorse City Council,16148,5,2,11,1,1
348,Montmorency,16 Station Rd,3,h,710000.0,S,Buckingham,16-04-2016,3094,Eastern Metropolitan,16.2,Banyule City Council,8960,4,0,12,0,0
349,Moonee Ponds,2 Addison St,3,h,1370000.0,S,Nelson,16-04-2016,3039,Western Metropolitan,6.2,Moonee Valley City Council,14250,3,1,26,1,1
350,Moonee Ponds,61 Athol St,3,h,1400000.0,SP,Brad,16-04-2016,3039,Western Metropolitan,6.2,Moonee Valley City Council,14250,3,1,26,1,1
351,Moonee Ponds,22 McPherson St,4,h,1310000.0,S,Jellis,16-04-2016,3039,Western Metropolitan,6.2,Moonee Valley City Council,14250,3,1,26,1,1
352,Moonee Ponds,4 Milverton St,4,h,1833000.0,SP,Jellis,16-04-2016,3039,Western Metropolitan,6.2,Moonee Valley City Council,14250,3,1,26,1,1
353,Moorabbin,10a Narooma St,3,u,1035000.0,S,C21,16-04-2016,3189,Southern Metropolitan,14.3,Kingston City Council,5895,8,1,9,0,0
354,Moorabbin,2/1 Perry St,3,t,785000.0,S,Ray,16-04-2016,3189,Southern Metropolitan,14.3,Kingston City Council,5895,8,1,9,0,0
355,Mordialloc,135c McDonald St,4,h,740000.0,SP,Buxton,16-04-2016,3195,South-Eastern Metropolitan,21.5,Kingston City Council,8166,11,1,30,0,0
356,Mount Waverley,39 Hansen St,2,h,1030000.0,S,Barry,16-04-2016,3149,Eastern Metropolitan,14.2,Monash City Council,33611,10,2,20,0,0
357,Mount Waverley,496 Highbury Rd,3,h,1055000.0,S,Buxton,16-04-2016,3149,Eastern Metropolitan,14.2,Monash City Council,33611,10,2,20,0,0
358,Mount Waverley,428 Huntingdale Rd,4,h,1200000.0,S,Buxton,16-04-2016,3149,Eastern Metropolitan,14.2,Monash City Council,33611,10,2,20,0,0
359,Mount Waverley,2 Lynden Gr,3,h,910000.0,PI,Barry,16-04-2016,3149,Eastern Metropolitan,14.2,Monash City Council,33611,10,2,20,0,0
360,Mount Waverley,489 Waverley Rd,4,h,950000.0,S,Barry,16-04-2016,3149,Eastern Metropolitan,14.2,Monash City Council,33611,10,2,20,0,0
361,Mulgrave,7 Police Rd,4,h,776000.0,S,Ray,16-04-2016,3170,South-Eastern Metropolitan,18.8,Monash City Council,19368,6,1,11,0,0
362,Mulgrave,11 Seaview Cr,3,h,585000.0,S,Ray,16-04-2016,3170,South-Eastern Metropolitan,18.8,Monash City Council,19368,6,1,11,0,0
363,Mulgrave,8 Sunrise Dr,4,h,877000.0,S,Ray,16-04-2016,3170,South-Eastern Metropolitan,18.8,Monash City Council,19368,6,1,11,0,0
364,Newport,5 Croker St,3,h,716000.0,S,Williams,16-04-2016,3015,Western Metropolitan,6.2,Hobsons Bay City Council,12916,5,0,27,0,0
365,Newport,1 Durkin St,2,h,740000.0,S,RT,16-04-2016,3015,Western Metropolitan,6.2,Hobsons Bay City Council,12916,5,0,27,0,0
366,Newport,91 High St,4,h,970000.0,S,Greg,16-04-2016,3015,Western Metropolitan,6.2,Hobsons Bay City Council,12916,5,0,27,0,0
367,Newport,2/29 Maddox Rd,3,t,735000.0,S,Williams,16-04-2016,3015,Western Metropolitan,6.2,Hobsons Bay City Council,12916,5,0,27,0,0
368,Niddrie,26 Nolan St,3,h,1076000.0,S,Barry,16-04-2016,3042,Western Metropolitan,10.4,Moonee Valley City Council,5479,6,0,22,0,0
369,Niddrie,11 Spring St,4,h,850000.0,S,Barry,16-04-2016,3042,Western Metropolitan,10.4,Moonee Valley City Council,5479,6,0,22,0,0
370,Noble Park,3/30 Ambrie Cr,3,h,515000.0,SP,RW,16-04-2016,3174,South-Eastern Metropolitan,22.7,Greater Dandenong City Council,30998,11,3,25,1,1
371,Noble Park,3/61 Kelvinside Rd,3,u,320000.0,VB,hockingstuart,16-04-2016,3174,South-Eastern Metropolitan,22.7,Greater Dandenong City Council,30998,11,3,25,1,1
372,North Melbourne,2/150 Arden St,2,u,440000.0,PI,hockingstuart,16-04-2016,3051,Northern Metropolitan,1.8,Melbourne City Council,14940,5,1,0,0,0
373,North Melbourne,12/700 Queensberry St,2,u,606000.0,S,Nelson,16-04-2016,3051,Northern Metropolitan,1.8,Melbourne City Council,14940,5,1,0,0,0
374,Northcote,13 Andrew St,3,h,1900000.0,SP,hockingstuart,16-04-2016,3070,Northern Metropolitan,5.3,Darebin City Council,24561,6,0,16,1,1
375,Northcote,121 Bent St,2,h,888000.0,SP,hockingstuart,16-04-2016,3070,Northern Metropolitan,5.3,Darebin City Council,24561,6,0,16,1,1
376,Northcote,45 Emmaline St,2,h,1020000.0,S,Nelson,16-04-2016,3070,Northern Metropolitan,5.3,Darebin City Council,24561,6,0,16,1,1
377,Northcote,34 Oamaru St,3,h,1160000.0,S,hockingstuart,16-04-2016,3070,Northern Metropolitan,5.3,Darebin City Council,24561,6,0,16,1,1
378,Northcote,2/13 Spencer St,2,h,844000.0,S,Barry,16-04-2016,3070,Northern Metropolitan,5.3,Darebin City Council,24561,6,0,16,1,1
379,Northcote,64 Union St,3,h,1860000.0,S,Nelson,16-04-2016,3070,Northern Metropolitan,5.3,Darebin City Council,24561,6,0,16,1,1
380,Oak Park,14 Summit Av,4,t,715750.0,SP,Stockdale,16-04-2016,3046,Northern Metropolitan,11.2,Moreland City Council,6205,12,0,26,0,0
381,Oak Park,18 Summit Av,3,h,862500.0,S,Brad,16-04-2016,3046,Northern Metropolitan,11.2,Moreland City Council,6205,12,0,26,0,0
382,Ormond,245 Grange Rd,4,h,1500000.0,VB,Ray,16-04-2016,3204,Southern Metropolitan,11.4,Glen Eira City Council,8417,9,2,28,0,0
383,Ormond,4/4 Ormond Rd,1,u,260000.0,SP,Thomson,16-04-2016,3204,Southern Metropolitan,11.4,Glen Eira City Council,8417,9,2,28,0,0
384,Parkdale,2/5 Greenways Ct,4,t,1520000.0,SP,Buxton,16-04-2016,3195,South-Eastern Metropolitan,21.5,Kingston City Council,11746,11,1,30,0,0
385,Parkdale,29 Stewart Av,3,h,1211000.0,S,Hodges,16-04-2016,3195,South-Eastern Metropolitan,21.5,Kingston City Council,11746,11,1,30,0,0
386,Parkville,84 Flemington Rd,10,h,2800000.0,VB,Nelson,16-04-2016,3052,Northern Metropolitan,1.8,Melbourne City Council,7409,2,6,0,0,0
387,Pascoe Vale,109 Derby St,4,h,970000.0,S,Nelson,16-04-2016,3044,Northern Metropolitan,8.5,Moreland City Council,17051,6,1,17,0,0
388,Pascoe Vale,2/7 Hazel Gr,3,u,515000.0,SP,hockingstuart,16-04-2016,3044,Northern Metropolitan,8.5,Moreland City Council,17051,6,1,17,0,0
389,Pascoe Vale,75 Landells Rd,3,h,985000.0,S,D'Aprano,16-04-2016,3044,Northern Metropolitan,8.5,Moreland City Council,17051,6,1,17,0,0
390,Pascoe Vale,3/31 Pardy St,2,t,515000.0,SP,Brad,16-04-2016,3044,Northern Metropolitan,8.5,Moreland City Council,17051,6,1,17,0,0
391,Port Melbourne,139 Cruikshank St,3,t,1565000.0,S,Cayzer,16-04-2016,3207,Southern Metropolitan,3.5,Melbourne City Council,16175,2,0,21,1,1
392,Port Melbourne,7/174 Esplanade Pl,2,u,730000.0,SP,RT,16-04-2016,3207,Southern Metropolitan,3.5,Melbourne City Council,16175,2,0,21,1,1
393,Port Melbourne,7/174 Esplanade East,2,u,730000.0,SP,RT,16-04-2016,3207,Southern Metropolitan,3.5,Melbourne City Council,16175,2,0,21,1,1
394,Port Melbourne,59 Heath St,3,h,1670000.0,S,Greg,16-04-2016,3207,Southern Metropolitan,3.5,Melbourne City Council,16175,2,0,21,1,1
395,Prahran,12/67 High St,2,u,530000.0,VB,Jellis,16-04-2016,3181,Southern Metropolitan,4.6,Stonnington City Council,12982,4,4,17,1,1
396,Prahran,43 Highbury Gr,3,h,1651000.0,S,Marshall,16-04-2016,3181,Southern Metropolitan,4.6,Stonnington City Council,12982,4,4,17,1,1
397,Prahran,6/20 Wynnstay Rd,2,u,615000.0,SA,Biggin,16-04-2016,3181,Southern Metropolitan,4.6,Stonnington City Council,12982,4,4,17,1,1
398,Preston,37 Bailey Av,5,h,1615000.0,S,Harcourts,16-04-2016,3072,Northern Metropolitan,8.4,Darebin City Council,32851,11,1,31,0,0
399,Preston,13 Garnet St,2,h,700000.0,PI,Barry,16-04-2016,3072,Northern Metropolitan,8.4,Darebin City Council,32851,11,1,31,0,0
400,Preston,7 Hope St,3,h,930000.0,S,Barry,16-04-2016,3072,Northern Metropolitan,8.4,Darebin City Council,32851,11,1,31,0,0
401,Preston,178 Raglan St,2,h,920000.0,SP,hockingstuart,16-04-2016,3072,Northern Metropolitan,8.4,Darebin City Council,32851,11,1,31,0,0
402,Princes Hill,206 Richardson St,2,h,1100000.0,S,Nelson,16-04-2016,3054,Northern Metropolitan,3.5,Yarra City Council,2126,3,0,1,0,0
403,Reservoir,9 Ayr St,4,h,670000.0,SP,Ray,16-04-2016,3073,Northern Metropolitan,12.0,Darebin City Council,50474,13,1,43,1,1
404,Reservoir,1/18 Duffy St,2,u,376000.0,S,Ray,16-04-2016,3073,Northern Metropolitan,12.0,Darebin City Council,50474,13,1,43,1,1
405,Reservoir,2/963 High St,2,u,323000.0,S,Nelson,16-04-2016,3073,Northern Metropolitan,12.0,Darebin City Council,50474,13,1,43,1,1
406,Reservoir,119 Hughes Pde,3,h,680000.0,S,Ray,16-04-2016,3073,Northern Metropolitan,12.0,Darebin City Council,50474,13,1,43,1,1
407,Reservoir,2/27 Kenilworth St,2,t,530000.0,S,Nelson,16-04-2016,3073,Northern Metropolitan,12.0,Darebin City Council,50474,13,1,43,1,1
408,Reservoir,14 Leichardt Cr,3,h,567000.0,SP,hockingstuart,16-04-2016,3073,Northern Metropolitan,12.0,Darebin City Council,50474,13,1,43,1,1
409,Reservoir,2/6 Lucille Av,3,t,480000.0,PI,Ray,16-04-2016,3073,Northern Metropolitan,12.0,Darebin City Council,50474,13,1,43,1,1
410,Reservoir,39 Mason St,4,h,786000.0,S,Nelson,16-04-2016,3073,Northern Metropolitan,12.0,Darebin City Council,50474,13,1,43,1,1
411,Reservoir,4/7 Pershing St,2,u,390000.0,VB,Nelson,16-04-2016,3073,Northern Metropolitan,12.0,Darebin City Council,50474,13,1,43,1,1
412,Reservoir,8 Willoughby St,3,h,650000.0,S,hockingstuart,16-04-2016,3073,Northern Metropolitan,12.0,Darebin City Council,50474,13,1,43,1,1
413,Reservoir,5 Zinnia St,3,h,540000.0,S,Nelson,16-04-2016,3073,Northern Metropolitan,12.0,Darebin City Council,50474,13,1,43,1,1
414,Richmond,11 Barkly Av,4,h,1540000.0,S,Jellis,16-04-2016,3121,Northern Metropolitan,2.4,Yarra City Council,27705,9,2,47,0,0
415,Richmond,29 Bennett St,3,h,1088000.0,S,Jellis,16-04-2016,3121,Northern Metropolitan,2.4,Yarra City Council,27705,9,2,47,0,0
416,Richmond,2/310 Burnley St,3,t,911000.0,S,Biggin,16-04-2016,3121,Northern Metropolitan,2.4,Yarra City Council,27705,9,2,47,0,0
417,Richmond,30 Highett St,4,h,3001000.0,S,Biggin,16-04-2016,3121,Northern Metropolitan,2.4,Yarra City Council,27705,9,2,47,0,0
418,Richmond,9/63 Stawell St,2,u,638000.0,S,Biggin,16-04-2016,3121,Northern Metropolitan,2.4,Yarra City Council,27705,9,2,47,0,0
419,Ringwood East,1/1 Alexandra Rd,3,h,590000.0,S,Kay,16-04-2016,3135,Eastern Metropolitan,21.3,Maroondah City Council,10265,6,3,20,0,0
420,Rosanna,180 Grandview Gr,6,h,1245000.0,S,Nelson,16-04-2016,3084,Eastern Metropolitan,8.9,Banyule City Council,8498,9,3,20,0,0
421,Rosanna,11/77 McCrae Rd,2,h,430000.0,S,hockingstuart,16-04-2016,3084,Eastern Metropolitan,8.9,Banyule City Council,8498,9,3,20,0,0
422,Rowville,5 Hermitage Pl,4,h,1210000.0,S,Barry,16-04-2016,3178,South-Eastern Metropolitan,23.5,Knox City Council,33672,6,0,39,1,1
423,Rowville,133 Turramurra Dr,5,h,1240000.0,S,Barry,16-04-2016,3178,South-Eastern Metropolitan,23.5,Knox City Council,33672,6,0,39,1,1
424,Rowville,7 Vue Ct,4,h,705000.0,PI,Schroeder,16-04-2016,3178,South-Eastern Metropolitan,23.5,Knox City Council,33672,6,0,39,1,1
425,Roxburgh Park,5 Wrigley Cr,4,h,495000.0,S,Raine,16-04-2016,3064,Northern Metropolitan,20.6,Hume City Council,21817,17,1,43,1,1
426,Sandhurst,50 Warrego Cct,4,h,555000.0,SP,U,16-04-2016,3977,South-Eastern Metropolitan,34.7,Frankston City Council,4981,19,1,61,0,0
427,Sandringham,108 Abbott St,4,h,1500000.0,VB,Buxton,16-04-2016,3191,Southern Metropolitan,15.2,Bayside City Council,10241,4,2,20,1,1
428,Sandringham,5/76 Bay Rd,2,u,576500.0,S,hockingstuart,16-04-2016,3191,Southern Metropolitan,15.2,Bayside City Council,10241,4,2,20,1,1
429,Sandringham,3/10 Heath St,2,u,735000.0,S,Hodges,16-04-2016,3191,Southern Metropolitan,15.2,Bayside City Council,10241,4,2,20,1,1
430,Sandringham,3/11 Waltham St,2,u,640000.0,VB,hockingstuart,16-04-2016,3191,Southern Metropolitan,15.2,Bayside City Council,10241,4,2,20,1,1
431,Seddon,38 Alfred St,3,h,920000.0,PI,Jas,16-04-2016,3011,Western Metropolitan,5.1,Maribyrnong City Council,5123,5,8,28,0,0
432,Seddon,11 Hotham St,3,h,1395000.0,SP,Jas,16-04-2016,3011,Western Metropolitan,5.1,Maribyrnong City Council,5123,5,8,28,0,0
433,South Kingsville,58 Kernot St,4,t,915000.0,SP,Sweeney,16-04-2016,3015,Western Metropolitan,6.2,Hobsons Bay City Council,1947,5,0,27,0,0
434,South Melbourne,14/182 Albert Rd,2,u,1500000.0,VB,Greg,16-04-2016,3205,Southern Metropolitan,1.9,Port Phillip City Council,10920,3,0,2,1,1
435,South Melbourne,50 Bridport St,2,h,2000000.0,PI,Greg,16-04-2016,3205,Southern Metropolitan,1.9,Port Phillip City Council,10920,3,0,2,1,1
436,South Melbourne,40a Napier St,2,u,692000.0,S,Greg,16-04-2016,3205,Southern Metropolitan,1.9,Port Phillip City Council,10920,3,0,2,1,1
437,South Morang,21 Jezwing Av,3,h,495000.0,S,Millership,16-04-2016,3752,Northern Metropolitan,20.5,Whittlesea City Council,24060,3,0,5,1,1
438,South Yarra,608/20 Garden St,2,u,515000.0,VB,Harrington,16-04-2016,3141,Southern Metropolitan,2.7,Melbourne City Council,25147,5,0,18,0,0
439,Southbank,125/173 City Rd,1,u,425000.0,VB,Greg,16-04-2016,3006,Southern Metropolitan,0.7,Melbourne City Council,18709,2,0,1,0,0
440,Spotswood,13 Robb St,3,h,831000.0,S,Biggin,16-04-2016,3015,Western Metropolitan,6.2,Hobsons Bay City Council,2604,5,0,27,0,0
441,Springvale,2/45 Whitworth Av,3,t,736000.0,S,Leyton,16-04-2016,3171,South-Eastern Metropolitan,20.8,Greater Dandenong City Council,21714,6,2,27,1,1
442,St Albans,20 Fox St,3,h,526000.0,S,Douglas,16-04-2016,3021,Western Metropolitan,14.0,Brimbank City Council,37309,18,4,32,0,0
443,St Albans,91 Oleander Dr,3,h,500000.0,S,Ray,16-04-2016,3021,Western Metropolitan,14.0,Brimbank City Council,37309,18,4,32,0,0
444,St Kilda,3/38 Barkly St,2,u,503500.0,S,Buxton,16-04-2016,3182,Southern Metropolitan,5.0,Port Phillip City Council,20230,5,0,12,1,1
445,St Kilda,4/50 Dalgety St,1,u,511000.0,S,McGrath,16-04-2016,3182,Southern Metropolitan,5.0,Port Phillip City Council,20230,5,0,12,1,1
446,St Kilda,4/58 Grey St,2,u,580000.0,PI,McGrath,16-04-2016,3182,Southern Metropolitan,5.0,Port Phillip City Council,20230,5,0,12,1,1
447,Strathmore,43 Henshall Rd,4,h,1430000.0,S,Nelson,16-04-2016,3041,Western Metropolitan,8.2,Moonee Valley City Council,8419,5,0,18,0,0
448,Strathmore,10 Roslyn St,5,h,915000.0,S,Brad,16-04-2016,3041,Western Metropolitan,8.2,Moonee Valley City Council,8419,5,0,18,0,0
449,Sunbury,82 MacEdon St,2,h,385000.0,SP,Barry,16-04-2016,3429,Western Metropolitan,31.7,Hume City Council,36084,14,2,43,1,1
450,Sunshine,1 Boreham St,3,h,610000.0,S,Barry,16-04-2016,3020,Western Metropolitan,10.5,Brimbank City Council,9768,18,1,45,1,1
451,Sunshine,14 Staughton St,3,h,600000.0,S,Sweeney,16-04-2016,3020,Western Metropolitan,10.5,Brimbank City Council,9768,18,1,45,1,1
452,Sunshine North,6 Gresford St,4,h,735000.0,S,Douglas,16-04-2016,3020,Western Metropolitan,10.5,Brimbank City Council,11700,18,1,45,0,0
453,Sunshine North,20 Mills St,3,h,635800.0,SP,Douglas,16-04-2016,3020,Western Metropolitan,10.5,Brimbank City Council,11700,18,1,45,0,0
454,Sunshine West,17 Fern St,3,h,480000.0,PI,Barry,16-04-2016,3020,Western Metropolitan,10.5,Brimbank City Council,18580,18,1,45,0,0
455,Sunshine West,68 Lachlan Rd,3,h,540000.0,PI,Barry,16-04-2016,3020,Western Metropolitan,10.5,Brimbank City Council,18580,18,1,45,0,0
456,Sunshine West,1 Larool Cr,3,h,555000.0,S,Barry,16-04-2016,3020,Western Metropolitan,10.5,Brimbank City Council,18580,18,1,45,0,0
457,Sunshine West,20 Norton St,3,h,544500.0,S,Melbourne,16-04-2016,3020,Western Metropolitan,10.5,Brimbank City Council,18580,18,1,45,0,0
458,Sunshine West,2/66 Talintyre Rd,2,u,345000.0,PI,Douglas,16-04-2016,3020,Western Metropolitan,10.5,Brimbank City Council,18580,18,1,45,0,0
459,Surrey Hills,53 Broughton Rd,5,h,1350000.0,S,Fletchers,16-04-2016,3127,Southern Metropolitan,10.2,Boroondara City Council,13605,5,0,15,0,0
460,Surrey Hills,5/26 Florence Rd,2,u,550000.0,SP,Jellis,16-04-2016,3127,Southern Metropolitan,10.2,Boroondara City Council,13605,5,0,15,0,0
461,Surrey Hills,3 Olyve Ct,4,h,1850000.0,VB,Marshall,16-04-2016,3127,Southern Metropolitan,10.2,Boroondara City Council,13605,5,0,15,0,0
462,Surrey Hills,212 Union Rd,4,h,2050000.0,VB,Jellis,16-04-2016,3127,Southern Metropolitan,10.2,Boroondara City Council,13605,5,0,15,0,0
463,Sydenham,12 Sambuco Ct,3,h,388000.0,S,Barry,16-04-2016,3037,Western Metropolitan,18.0,Brimbank City Council,10838,8,1,17,0,0
464,Taylors Lakes,5 Lyrebird Ct,4,h,595000.0,PI,Barry,16-04-2016,3038,Western Metropolitan,15.5,Brimbank City Council,15519,7,0,13,0,0
465,Templestowe,7 Selwyn Ct,5,h,1165000.0,S,Jellis,16-04-2016,3106,Eastern Metropolitan,15.5,Manningham City Council,16618,4,0,21,0,0
466,Templestowe Lower,17 Gidgee Av,4,h,1210000.0,S,Ray,16-04-2016,3107,Eastern Metropolitan,12.4,Manningham City Council,13429,2,1,6,0,0
467,Templestowe Lower,13 Tasker St,3,h,1010000.0,S,Barry,16-04-2016,3107,Eastern Metropolitan,12.4,Manningham City Council,13429,2,1,6,0,0
468,Thornbury,22 Gooch St,3,h,1235000.0,S,Jellis,16-04-2016,3071,Northern Metropolitan,7.0,Darebin City Council,18568,7,0,19,0,0
469,Thornbury,52a Leinster Gr,3,t,910500.0,SP,hockingstuart,16-04-2016,3071,Northern Metropolitan,7.0,Darebin City Council,18568,7,0,19,0,0
470,Thornbury,84 Raleigh St,2,h,760000.0,S,Nelson,16-04-2016,3071,Northern Metropolitan,7.0,Darebin City Council,18568,7,0,19,0,0
471,Thornbury,4/305 Rossmoyne St,2,u,505000.0,S,Jellis,16-04-2016,3071,Northern Metropolitan,7.0,Darebin City Council,18568,7,0,19,0,0
472,Toorak,719a Malvern Rd,3,h,1300000.0,SP,Biggin,16-04-2016,3142,Southern Metropolitan,4.1,Stonnington City Council,12909,4,1,11,0,0
473,Tullamarine,8 Streetly Cl,4,h,530000.0,S,Jason,16-04-2016,3043,Western Metropolitan,12.9,Brimbank City Council,6605,5,0,30,0,0
474,Vermont,60 Boronia Rd,3,h,858000.0,S,Noel,16-04-2016,3133,Eastern Metropolitan,17.2,Maroondah City Council,10442,10,1,20,0,0
475,Vermont,80 Boronia Rd,4,h,880000.0,S,Barry,16-04-2016,3133,Eastern Metropolitan,17.2,Maroondah City Council,10442,10,1,20,0,0
476,Vermont South,3 Bracknell Ct,4,h,1100000.0,S,Jellis,16-04-2016,3133,Eastern Metropolitan,17.2,Whitehorse City Council,11678,10,1,20,1,1
477,Vermont South,16 Donbirn Wy,4,h,957500.0,S,M.J,16-04-2016,3133,Eastern Metropolitan,17.2,Whitehorse City Council,11678,10,1,20,1,1
478,Vermont South,6/335 Hawthorn Rd,3,t,768000.0,S,Noel,16-04-2016,3133,Eastern Metropolitan,17.2,Whitehorse City Council,11678,10,1,20,1,1
479,Viewbank,15 Christine St,3,h,775000.0,SP,Miles,16-04-2016,3084,Eastern Metropolitan,8.9,Banyule City Council,6923,9,3,20,0,0
480,Wantirna,38 Cavendish Av,4,h,890000.0,SP,Professionals,16-04-2016,3152,Eastern Metropolitan,14.7,Knox City Council,13818,11,2,49,0,0
481,Wantirna South,12 Arthur St,4,h,878000.0,S,Justin,16-04-2016,3152,Eastern Metropolitan,14.7,Knox City Council,19271,11,2,49,0,0
482,Wantirna South,1/22 Moonah Rd,3,u,575000.0,S,Ray,16-04-2016,3152,Eastern Metropolitan,14.7,Knox City Council,19271,11,2,49,0,0
483,Watsonia,3 Tennyson St,3,h,1040000.0,PI,Buckingham,16-04-2016,3087,Northern Metropolitan,14.5,Banyule City Council,5214,4,0,9,0,0
484,Westmeadows,29 Kenny St,3,h,430000.0,PI,Jason,16-04-2016,3049,Northern Metropolitan,16.5,Hume City Council,5848,1,0,7,0,0
485,Wheelers Hill,5 Eaton Pl,4,h,1385000.0,S,Ray,16-04-2016,3150,South-Eastern Metropolitan,16.7,Monash City Council,19753,21,2,51,0,0
486,Williamstown,22 Burbidge Dr,3,h,906000.0,SP,Compton,16-04-2016,3016,Western Metropolitan,6.8,Hobsons Bay City Council,13969,5,1,31,1,1
487,Williamstown,71 Hannan St,4,h,1805000.0,S,Greg,16-04-2016,3016,Western Metropolitan,6.8,Hobsons Bay City Council,13969,5,1,31,1,1
488,Williamstown,16 Princes St,4,h,1126000.0,SP,Raine&Horne,16-04-2016,3016,Western Metropolitan,6.8,Hobsons Bay City Council,13969,5,1,31,1,1
489,Williamstown,21a Station Rd,3,t,935000.0,SP,Sweeney,16-04-2016,3016,Western Metropolitan,6.8,Hobsons Bay City Council,13969,5,1,31,1,1
490,Williamstown North,42 Park Cr,2,h,600000.0,SA,Barlow,16-04-2016,3016,Western Metropolitan,6.8,Hobsons Bay City Council,1593,5,1,31,0,0
491,Wyndham Vale,17 Akoona Wy,4,h,605000.0,S,Ray,16-04-2016,3024,Western Metropolitan,27.2,Wyndham City Council,23273,1,0,10,0,0
492,Yarraville,64 Bishop St,3,h,1055000.0,S,hockingstuart,16-04-2016,3013,Western Metropolitan,6.3,Maribyrnong City Council,14965,4,0,20,1,1
493,Yarraville,4/16 Dean St,3,t,620000.0,VB,iOne,16-04-2016,3013,Western Metropolitan,6.3,Maribyrnong City Council,14965,4,0,20,1,1
494,Yarraville,117 Francis St,4,h,660000.0,PI,Sweeney,16-04-2016,3013,Western Metropolitan,6.3,Maribyrnong City Council,14965,4,0,20,1,1
495,Yarraville,342 Francis St,3,h,681000.0,S,Sweeney,16-04-2016,3013,Western Metropolitan,6.3,Maribyrnong City Council,14965,4,0,20,1,1
496,Yarraville,5/69 Hamilton St,1,u,345000.0,S,hockingstuart/Village,16-04-2016,3013,Western Metropolitan,6.3,Maribyrnong City Council,14965,4,0,20,1,1
497,Yarraville,3/1 Jepson St,2,t,705000.0,SP,Sweeney,16-04-2016,3013,Western Metropolitan,6.3,Maribyrnong City Council,14965,4,0,20,1,1
498,Yarraville,9 Pearce St,3,h,955000.0,S,Jellis,16-04-2016,3013,Western Metropolitan,6.3,Maribyrnong City Council,14965,4,0,20,1,1
499,Yarraville,11 Sanderson St,2,h,822000.0,S,Sweeney,16-04-2016,3013,Western Metropolitan,6.3,Maribyrnong City Council,14965,4,0,20,1,1
500,Abbotsford,49/84 Trenerry Cr,2,h,700000.0,S,Biggin,23-04-2016,3067,Northern Metropolitan,3.0,Yarra City Council,8184,3,0,11,0,0
501,Airport West,117 Marshall Rd,3,h,662000.0,S,Brad,23-04-2016,3042,Western Metropolitan,10.4,Moonee Valley City Council,7564,6,0,22,1,1
502,Albert Park,55 Merton St,3,h,2100000.0,SP,Marshall,23-04-2016,3206,Southern Metropolitan,3.0,Port Phillip City Council,6215,4,0,33,0,0
503,Altona,3/20 Mulga St,3,u,577000.0,S,Williams,23-04-2016,3018,Western Metropolitan,11.0,Hobsons Bay City Council,10762,4,1,25,1,1
504,Altona Meadows,37 Powlett St,3,h,485000.0,S,Sweeney,23-04-2016,3028,Western Metropolitan,15.5,Hobsons Bay City Council,19160,8,0,25,0,0
505,Altona North,1/21 Freemans Rd,3,h,590000.0,SP,RT,23-04-2016,3025,Western Metropolitan,9.4,Hobsons Bay City Council,12152,6,0,27,0,0
506,Altona North,122 McIntosh Rd,3,h,590000.0,S,Village,23-04-2016,3025,Western Metropolitan,9.4,Hobsons Bay City Council,12152,6,0,27,0,0
507,Ardeer,101 Suspension St,3,h,480000.0,SP,Biggin,23-04-2016,3022,Western Metropolitan,12.8,Brimbank City Council,3103,2,0,1,1,1
508,Armadale,48 Barkly Av,3,h,1992000.0,S,Jellis,23-04-2016,3143,Southern Metropolitan,6.3,Stonnington City Council,9054,2,0,7,0,0
509,Ascot Vale,45 Bloomfield Rd,3,h,1291000.0,S,Brad,23-04-2016,3032,Western Metropolitan,4.3,Moonee Valley City Council,14750,6,1,25,0,0
510,Ascot Vale,21 Middle St,3,h,1130000.0,S,Nelson,23-04-2016,3032,Western Metropolitan,4.3,Moonee Valley City Council,14750,6,1,25,0,0
511,Ashburton,3/4 Annetta Av,3,h,1430000.0,S,Jellis,23-04-2016,3147,Southern Metropolitan,10.2,Boroondara City Council,7751,7,1,34,0,0
512,Ashwood,31a Shaw St,3,t,880000.0,PI,Fletchers,23-04-2016,3147,Southern Metropolitan,10.2,Monash City Council,6886,7,1,34,0,0
513,Avondale Heights,17 Lacy St,3,h,790000.0,S,HAR,23-04-2016,3034,Western Metropolitan,9.5,Moonee Valley City Council,11633,2,0,6,1,1
514,Avondale Heights,8 Moffat St,3,h,695000.0,S,HAR,23-04-2016,3034,Western Metropolitan,9.5,Moonee Valley City Council,11633,2,0,6,1,1
515,Avondale Heights,1 Templewood Cr,4,h,855000.0,PI,Nelson,23-04-2016,3034,Western Metropolitan,9.5,Moonee Valley City Council,11633,2,0,6,1,1
516,Balwyn North,10 Citron Av,5,h,1650000.0,VB,Owen,23-04-2016,3104,Southern Metropolitan,9.7,Boroondara City Council,20406,7,0,35,1,1
517,Balwyn North,11 Highview Rd,5,h,1500000.0,VB,hockingstuart,23-04-2016,3104,Southern Metropolitan,9.7,Boroondara City Council,20406,7,0,35,1,1
